"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4689","test_UI_0001_0005[byh-88888888-\u767b\u5f55\u5931\u8d25 : \u7528\u6237\u540d\u6216\u8005\u5bc6\u7801\u9519\u8bef]","cases. UI测试用例.登录","2025-10-17","passed","2025-10-17","Test_错误登录","test_错误登录","",""
"","5","正常添加客户 - API-0151","cases.API测试用例","2025-10-17","passed","2025-10-17","Test_API_0151","test_API添加","",""
"","5716","test_UI_0001_0005[byhy-888888888-\u767b\u5f55\u5931\u8d25 : \u7528\u6237\u540d\u6216\u8005\u5bc6\u7801\u9519\u8bef]","cases. UI用例.登录","2025-10-17","passed","2025-10-17","Test_错误登录","test_错误登录","",""
"","3609","test_UI_0001_0005[byhy-None-\u8bf7\u8f93\u5165\u5bc6\u7801]","cases. UI测试用例.登录","2025-10-17","passed","2025-10-17","Test_错误登录","test_错误登录","",""
"","4722","test_UI_0001_0005[byhy-8888888-\u767b\u5f55\u5931\u8d25 : \u7528\u6237\u540d\u6216\u8005\u5bc6\u7801\u9519\u8bef]","cases. UI用例.登录","2025-10-17","passed","2025-10-17","Test_错误登录","test_错误登录","",""
"","4525","test_UI_0001_0005[byhy-8888888-\u767b\u5f55\u5931\u8d25 : \u7528\u6237\u540d\u6216\u8005\u5bc6\u7801\u9519\u8bef]","cases. UI测试用例.登录","2025-10-17","passed","2025-10-17","Test_错误登录","test_错误登录","",""
"","4","正常添加客户 - API-0151","cases.API用例","2025-10-17","passed","2025-10-17","Test_API_0151","test_API添加","",""
"","4","正常添加客户 - API-0151","cases.API用例","2025-10-17","passed","2025-10-17","Test_API_0151","Test_API添加","",""
"","4666","test_UI_0001_0005[byhy-888888888-\u767b\u5f55\u5931\u8d25 : \u7528\u6237\u540d\u6216\u8005\u5bc6\u7801\u9519\u8bef]","cases. UI测试用例.登录","2025-10-17","passed","2025-10-17","Test_错误登录","test_错误登录","",""
"","4687","test_UI_0001_0005[byh-88888888-\u767b\u5f55\u5931\u8d25 : \u7528\u6237\u540d\u6216\u8005\u5bc6\u7801\u9519\u8bef]","cases. UI用例.登录","2025-10-17","passed","2025-10-17","Test_错误登录","test_错误登录","",""
"","5789","test_UI_0001_0005[byhy-None-\u8bf7\u8f93\u5165\u5bc6\u7801]","cases. UI用例.登录","2025-10-17","passed","2025-10-17","Test_错误登录","test_错误登录","",""
"","8","test_customer_add_invalid_data","cases.API测试用例","2025-10-17","failed","2025-10-17","Test_API_0153","test_API添加","",""
"","5751","test_UI_0001_0005[None-88888888-\u8bf7\u8f93\u5165\u7528\u6237\u540d]","cases. UI用例.登录","2025-10-17","passed","2025-10-17","Test_错误登录","test_错误登录","",""
"","5465","test_UI_0001_0005[None-88888888-\u8bf7\u8f93\u5165\u7528\u6237\u540d]","cases. UI测试用例.登录","2025-10-17","passed","2025-10-17","Test_错误登录","test_错误登录","",""
